request_id,request_time,success,message
Vancouver-aNpKgACE,2024-07-25 00:01:36,Yes,Successful request for Vancouver
Vancouver-ZNwa41UW,2024-07-25 00:03:19,Yes,Successful request for Vancouver
Vancouver-ZNwa41UW,2024-07-25 00:03:19,App-executed,app.py run succesfully at 2024-07-25 00:03:19
Toronto-CaRPFgrZ,2024-07-25 00:03:21,Yes,Successful request for Toronto
Toronto-CaRPFgrZ,2024-07-25 00:03:21,App-executed,app.py run succesfully at 2024-07-25 00:03:21
Montreal-3Vr4r4ET,2024-07-25 00:03:22,Yes,Successful request for Montreal
Montreal-3Vr4r4ET,2024-07-25 00:03:22,App-executed,app.py run succesfully at 2024-07-25 00:03:22
Vancouver-PqEdgwbN,2024-07-25 22:51:11,Yes,Successful request for Vancouver
Vancouver-PqEdgwbN,2024-07-25 22:51:11,App-executed,app.py run succesfully at 2024-07-25 22:51:11
Toronto-MrMEAxk5,2024-07-25 22:51:46,Yes,Successful request for Toronto
Toronto-MrMEAxk5,2024-07-25 22:51:46,App-executed,app.py run succesfully at 2024-07-25 22:51:46
Montreal-kTnw0iTH,2024-07-25 22:51:50,Yes,Successful request for Montreal
Montreal-kTnw0iTH,2024-07-25 22:51:50,App-executed,app.py run succesfully at 2024-07-25 22:51:50
