request_id,timestamp,_id,date,day_name,hour,city,station_id,station_name,free_bikes,empty_slots
Vancouver-oySI3NWB,2024-07-25T05:55:01.940000Z,10th&Cambie--YsmMVyCX,2024-07-25,Thursday,00:01,Vancouver,7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,2,31
Vancouver-pfox78vF,2024-07-25T05:55:01.909000Z,Yaletown-RoundhouseStation--KcsN49BB,2024-07-25,Thursday,00:01,Vancouver,32603a87cfca71d0f7dfa3513bad69d5,Yaletown-Roundhouse Station,4,12
Vancouver-S4CHubxS,2024-07-25T05:55:01.917000Z,Dunsmuir&Beatty--bRKeB1tS,2024-07-25,Thursday,00:01,Vancouver,6d42fa40360f9a6b2bf641c7b8bb2862,Dunsmuir & Beatty,4,22
Vancouver-XhIHyQQh,2024-07-25T05:55:01.930000Z,12th&Yukon(CityHall)--JJvONVkf,2024-07-25,Thursday,00:01,Vancouver,66f873d641d448bd1572ab086665a458,12th & Yukon (City Hall),4,12
Vancouver-J9a9lTre,2024-07-25T05:55:01.980000Z,8th&Ash--VhygNiA0,2024-07-25,Thursday,00:01,Vancouver,485d4d24c803cfde829ab89699fed833,8th & Ash,1,15
Vancouver-AqBEcVKQ,2024-07-25T05:55:01.985000Z,Spyglass&Seawall--zhgeQagJ,2024-07-25,Thursday,00:01,Vancouver,b07d513f87897cff7319a0e59d7e567c,Spyglass & Seawall,1,13
Vancouver-DM90Gw3U,2024-07-25T05:55:02.388000Z,StampsLanding--s7GIxJRx,2024-07-25,Thursday,00:01,Vancouver,d1c9556d92f329703229fb3e33899a3b,Stamps Landing,4,9
Vancouver-Etwm0r6H,2024-07-25T05:55:02.365000Z,Ontario&Seawall--nrqtfE0N,2024-07-25,Thursday,00:01,Vancouver,95e624191c655f50e401d280cd39a9ad,Ontario & Seawall,8,11
Vancouver-7HRgUsz9,2024-07-25T05:55:02.296000Z,CanadaPlace--DS6txRnZ,2024-07-25,Thursday,00:01,Vancouver,3e112f9fe877e0003780386359060ae6,Canada Place,0,0
Vancouver-lXGNhLrK,2024-07-25T05:55:02.269000Z,Granville&Georgia--letTiS5k,2024-07-25,Thursday,00:01,Vancouver,6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,1,18
